Date,Drillhole_USC,Average of Daily rainfall,Average of Total Head
2023-07-13 00:00:00,BH20-29_CH,0.254,1142.62427771477
2023-07-13 00:00:00,BH20-29_ExWR,0.254,1142.34328178933
2023-07-13 00:00:00,BH20-29_GP-GC,0.254,1142.39860308375
2023-07-13 00:00:00,BH20-29_WR,0.254,1142.04183894863
2023-07-13 00:00:00,P3_CH,0.254,1144.88398106687
2023-07-13 01:00:00,BH20-29_CH,0.254,1142.62091304776
2023-07-13 01:00:00,BH20-29_ExWR,0.254,1142.3374664515
2023-07-13 01:00:00,BH20-29_GP-GC,0.254,1142.39392129227
2023-07-13 01:00:00,BH20-29_WR,0.254,1142.03764452456
2023-07-13 01:00:00,P3_CH,0.254,1144.88128971598
2023-07-13 02:00:00,BH20-29_CH,0.254,1142.62411749259
2023-07-13 02:00:00,BH20-29_ExWR,0.254,1142.33655261196
2023-07-13 02:00:00,BH20-29_GP-GC,0.254,1142.3933161624
2023-07-13 02:00:00,BH20-29_WR,0.254,1142.03600389969
2023-07-13 02:00:00,P3_CH,0.254,1144.8804794163
2023-07-13 03:00:00,BH20-29_CH,0.254,1142.62248322601
2023-07-13 03:00:00,BH20-29_ExWR,0.254,1142.33383878424
2023-07-13 03:00:00,BH20-29_GP-GC,0.254,1142.39095933998
2023-07-13 03:00:00,BH20-29_WR,0.254,1142.03348105044
2023-07-13 03:00:00,P3_CH,0.254,1144.87865624122
2023-07-13 04:00:00,BH20-29_CH,0.254,1142.62043238084
2023-07-13 04:00:00,BH20-29_ExWR,0.254,1142.32976803933
2023-07-13 04:00:00,BH20-29_GP-GC,0.254,1142.38767889586
2023-07-13 04:00:00,BH20-29_WR,0.254,1142.02992119855
2023-07-13 04:00:00,P3_CH,0.254,1144.87599382479
2023-07-13 05:00:00,BH20-29_CH,0.254,1142.6204644253
2023-07-13 05:00:00,BH20-29_ExWR,0.254,1142.32907573537
2023-07-13 05:00:00,BH20-29_GP-GC,0.254,1142.38669157724
2023-07-13 05:00:00,BH20-29_WR,0.254,1142.02838891331
2023-07-13 05:00:00,P3_CH,0.254,1144.874691555
2023-07-13 06:00:00,BH20-29_CH,0.254,1142.6174522448
2023-07-13 06:00:00,BH20-29_ExWR,0.254,1142.32550344512
2023-07-13 06:00:00,BH20-29_GP-GC,0.254,1142.38372962007
2023-07-13 06:00:00,BH20-29_WR,0.254,1142.02516956424
2023-07-13 06:00:00,P3_CH,0.254,1144.87168186263
2023-07-13 07:00:00,BH20-29_CH,0.254,1142.61649091018
2023-07-13 07:00:00,BH20-29_ExWR,0.254,1142.3246726795
2023-07-13 07:00:00,BH20-29_GP-GC,0.254,1142.38280599861
2023-07-13 07:00:00,BH20-29_WR,0.254,1142.0235753662
2023-07-13 07:00:00,P3_CH,0.254,1144.86968504581
2023-07-13 08:00:00,BH20-29_CH,0.254,1142.61604228729
2023-07-13 08:00:00,BH20-29_ExWR,0.254,1142.32245730371
2023-07-13 08:00:00,BH20-29_GP-GC,0.254,1142.38079950993
2023-07-13 08:00:00,BH20-29_WR,0.254,1142.02139301619
2023-07-13 08:00:00,P3_CH,0.254,1144.86783292464
2023-07-13 09:00:00,BH20-29_CH,0.254,1142.61444006231
2023-07-13 09:00:00,BH20-29_ExWR,0.254,1142.32057423335
2023-07-13 09:00:00,BH20-29_GP-GC,0.254,1142.37876117129
2023-07-13 09:00:00,BH20-29_WR,0.254,1142.01969047263
2023-07-13 09:00:00,P3_CH,0.254,1144.86592292347
2023-07-13 10:00:00,BH20-29_CH,0.254,1142.61376712765
2023-07-13 10:00:00,BH20-29_ExWR,0.254,1142.31783270291
2023-07-13 10:00:00,BH20-29_GP-GC,0.254,1142.37621324666
2023-07-13 10:00:00,BH20-29_WR,0.254,1142.01701283419
2023-07-13 10:00:00,P3_CH,0.254,1144.86291322215
2023-07-13 11:00:00,BH20-29_CH,0.254,1142.60944111674
2023-07-13 11:00:00,BH20-29_ExWR,0.254,1142.31414963391
2023-07-13 11:00:00,BH20-29_GP-GC,0.254,1142.37277354605
2023-07-13 11:00:00,BH20-29_WR,0.254,1142.01354583093
2023-07-13 11:00:00,P3_CH,0.254,1144.85912215168
2023-07-13 12:00:00,BH20-29_CH,0.254,1142.60450625482
2023-07-13 12:00:00,BH20-29_ExWR,0.254,1142.30938656237
2023-07-13 12:00:00,BH20-29_GP-GC,0.254,1142.368601313
2023-07-13 12:00:00,BH20-29_WR,0.254,1142.0094442376
2023-07-13 12:00:00,P3_CH,0.254,1144.85536001586
2023-07-13 13:00:00,BH20-29_CH,0.254,1142.60098135017
2023-07-13 13:00:00,BH20-29_ExWR,0.254,1142.30545425499
2023-07-13 13:00:00,BH20-29_GP-GC,0.254,1142.36497051154
2023-07-13 13:00:00,BH20-29_WR,0.254,1142.00580697136
2023-07-13 13:00:00,P3_CH,0.254,1144.85142423785
2023-07-13 14:00:00,BH20-29_CH,0.254,1142.59861004914
2023-07-13 14:00:00,BH20-29_ExWR,0.254,1142.30354348456
2023-07-13 14:00:00,BH20-29_GP-GC,0.254,1142.36286846722
2023-07-13 14:00:00,BH20-29_WR,0.254,1142.00331505476
