Date,Tailings,Chainage
2024-07-14 00:00:00,,0+000
2024-07-14 00:00:00,,0+050
2024-07-14 00:00:00,,0+100
2024-07-14 00:00:00,,0+200
2024-07-14 00:00:00,,0+250
2024-07-14 00:00:00,,0+350
2024-07-14 00:00:00,,0+400
2024-07-14 00:00:00,,0+500
2024-07-14 00:00:00,,0+550
2024-07-14 00:00:00,,0+650
2024-07-14 00:00:00,,0+700
2024-07-14 00:00:00,,0+800
2024-07-14 00:00:00,,0+850
2024-07-14 00:00:00,,0+950
2024-07-14 00:00:00,,1+000
2024-07-14 00:00:00,,1+100
2024-07-14 00:00:00,,1+150
2024-07-14 00:00:00,,1+250
2024-07-14 00:00:00,,1+300
2024-07-14 00:00:00,,1+400
2024-07-14 00:00:00,,1+450
2024-07-14 00:00:00,,1+550
2024-07-14 00:00:00,,1+600
2024-07-14 00:00:00,,1+700
2024-07-14 00:00:00,,1+750
2024-07-14 00:00:00,,1+850
2024-07-14 00:00:00,,1+900
2024-07-14 00:00:00,,1+950
2024-07-14 00:00:00,,2+000
2024-07-14 00:00:00,,2+100
2024-07-14 00:00:00,,2+150
2024-07-14 00:00:00,,2+250
2024-07-14 00:00:00,,2+300
2024-07-14 00:00:00,,2+400
2024-07-14 00:00:00,,2+450
2024-07-14 00:00:00,,2+550
2024-07-14 00:00:00,,2+600
2024-07-14 00:00:00,,2+700
2024-07-14 00:00:00,,2+750
2024-07-14 00:00:00,,2+850
2024-07-14 00:00:00,,2+900
2024-07-14 00:00:00,,3+000
2024-07-14 00:00:00,,3+050
2024-07-14 00:00:00,,3+150
2024-07-14 00:00:00,,3+200
2024-07-14 00:00:00,,3+300
2024-07-14 00:00:00,,3+350
2024-07-14 00:00:00,,3+400
2024-07-14 00:00:00,,3+500
2024-07-14 00:00:00,,3+550
2024-07-14 00:00:00,,3+650
2024-07-14 00:00:00,,3+700
2024-07-14 00:00:00,,3+800
2024-07-14 00:00:00,,3+850
2024-07-14 00:00:00,,3+950
2024-07-14 00:00:00,,4+000
2024-07-14 00:00:00,,4+100
2024-07-14 00:00:00,,4+150
2024-07-14 00:00:00,,4+200
2024-07-14 00:00:00,,4+300
2024-07-14 00:00:00,,4+350
2024-07-14 00:00:00,,4+450
2024-07-14 00:00:00,,4+500
2024-07-14 00:00:00,,4+600
2024-07-14 00:00:00,,4+650
2024-07-14 00:00:00,,4+750
2024-07-14 00:00:00,,4+800
2024-07-14 00:00:00,,4+900
2024-07-14 00:00:00,,4+950
2024-07-14 00:00:00,,5+050
2024-07-14 00:00:00,,5+100
